created_at,user_id,username,name,place,tweet,language,replies_count,hashtags,sentiment,illness
2021-04-27 23:55:06 UTC,23772644.0,bbcindonesia,BBC News Indonesia,,"Varian baru Covid India sudah masuk Indonesia, dengan adanya 10 orang yang terpapar. Enam orang kasus impor dan empat orang penularan lokal di Sumatra dan Jawa Barat.   Penelurusuran kontak Indonesia lemah, kata ahli penyakit menular.   https://t.co/D5N5JgW1Ec",in,15,[],NEGATIVE,severe illness
2021-04-27 23:35:39 UTC,17128975.0,cnnindonesia,CNN Indonesia,,Badai Covid India hingga Junta Myanmar Pikir-pikir Usul ASEAN #KilasInternasional  https://t.co/OwdhGFstIP,in,0,['kilasinternasional'],NEGATIVE,no illness
2021-04-27 23:18:00 UTC,61377303.0,lintas_mnctv,Lintas_MNCTV,,Peringatan WHO: Krisis Covid India Bisa Makin Buruk  https://t.co/rPOyFAeRoc,in,0,[],NEGATIVE,severe illness
2021-04-27 23:16:27 UTC,576348125.0,nagma_morarji,Nagma,,"German Army working around the clock to help India with its Covid crisis, says envoy Lindner  https://t.co/5VXpoZgyhq via @ThePrintIndia #COVIDEmergency2021 #COVIDSecondWaveInIndia #CovidIndia",en,0,"['covidemergency2021', 'covidsecondwaveinindia', 'covidindia']",NEGATIVE,severe illness
2021-04-27 22:04:08 UTC,559652727.0,pkashwan,Prakash Kashwan प्रकाश कसवाँ,,"TBC, this is an old report. The point is that Indian government is known to use national and international trolls to run propaganda campaigns or to cover up for its failures via domestic and international social media covert operations. #CovidIndiaInfo #COVIDindia2021 #CovidIndia",en,0,"['covidindiainfo', 'covidindia2021', 'covidindia']",NEGATIVE,no illness
2021-04-27 22:01:22 UTC,559652727.0,pkashwan,Prakash Kashwan प्रकाश कसवाँ,,"""Most government-linked disinformation efforts were focused domestically, researchers concluded. But at least seven countries had tried to influence views outside their borders: China, India, Iran, Pakistan, Russia, Saudi Arabia and Venezuela."" #CovidIndia  https://t.co/19loorkICL",en,2,['covidindia'],NEGATIVE,no illness
2021-04-27 21:56:38 UTC,22949899.0,newsdamian,Damian Trujillo,,"The news out of #India is devastating. #CovidIndia is hurting the country.  The Bay Area is helping. @6, why a Gilroy dentist is collecting CPAP and BiPAP machines like these.  “It is heartbreaking.”   You have one at home and not using it? On @nbcbayarea   https://t.co/KBJsB1sfYd  https://t.co/QnpoLEz1cV",en,0,"['india', 'covidindia']",NEGATIVE,severe illness
2021-04-27 21:46:00 UTC,34262462.0,sputnikint,Sputnik,,"Second COVID wave has hampered India's economic recovery by 15%, unemployment to rise - economist  #COVID19 #CovidIndia  https://t.co/oXj7rHoBIX",en,0,"['covid19', 'covidindia']",NEGATIVE,no illness
2021-04-27 21:28:49 UTC,246318153.0,atwaheed,Amina Waheed,,"""It could prove to be a 'fatal superspreader' event given the ill-equipped health care system in the region.""   COVID: India to allow Amarnath pilgrimage despite surge in cases  https://t.co/8qmGgvMN2O",en,0,[],NEGATIVE,severe illness
2021-04-27 21:24:37 UTC,3989159413.0,zee_hindustan,ZEE HINDUSTAN,,रेमडेसिविर पर केंद्र और दिल्ली सरकार से हाईकोर्ट ने पूछे तीखे सवाल  #NewZeeDigital #CovidIndia  @CMODelhi @ArvindKejriwal    https://t.co/lD2kc5Y5Qm,hi,1,"['newzeedigital', 'covidindia']",NEGATIVE,no illness
