title,Average rating,created_at,sentiment
"German Army working around the clock to help India with its Covid crisis, says envoy Lindner  https://t.co/5VXpoZgyhq via @ThePrintIndia #COVIDEmergency2021 #COVIDSecondWaveInIndia #CovidIndia",0.5848705649375916,2021-04-27 23:16:27 UTC,NEGATIVE
"TBC, this is an old report. The point is that Indian government is known to use national and international trolls to run propaganda campaigns or to cover up for its failures via domestic and international social media covert operations. #CovidIndiaInfo #COVIDindia2021 #CovidIndia",0.40330616384744644,2021-04-27 22:04:08 UTC,NEGATIVE
"""Most government-linked disinformation efforts were focused domestically, researchers concluded. But at least seven countries had tried to influence views outside their borders: China, India, Iran, Pakistan, Russia, Saudi Arabia and Venezuela."" #CovidIndia  https://t.co/19loorkICL",0.3933470346033573,2021-04-27 22:01:22 UTC,NEGATIVE
"The news out of #India is devastating. #CovidIndia is hurting the country.  The Bay Area is helping. @6, why a Gilroy dentist is collecting CPAP and BiPAP machines like these.  “It is heartbreaking.”   You have one at home and not using it? On @nbcbayarea   https://t.co/KBJsB1sfYd  https://t.co/QnpoLEz1cV",0.3273426923900843,2021-04-27 21:56:38 UTC,NEGATIVE
"Second COVID wave has hampered India's economic recovery by 15%, unemployment to rise - economist  #COVID19 #CovidIndia  https://t.co/oXj7rHoBIX",0.39079661667346954,2021-04-27 21:46:00 UTC,NEGATIVE
"""It could prove to be a 'fatal superspreader' event given the ill-equipped health care system in the region.""   COVID: India to allow Amarnath pilgrimage despite surge in cases  https://t.co/8qmGgvMN2O",0.39225712791085243,2021-04-27 21:28:49 UTC,NEGATIVE
"What people should keep in mind is that it is a public health nightmare in India **in normal times**----the world's worst air pollution, disease, filth. Undrinkable water. Overcrowding. Add the #COVID  pandemic to that and you have the unthinkable. #CovidIndia  #SaveIndia",0.2324341935105622,2021-04-27 21:23:59 UTC,NEGATIVE
"I am working with 3 NGOs on the ground in India raising funds for monthly groceries for families and people with disabilities in rural India. If you are able and have an Indian bank account, please please reach out to me. The need is urgent #CovidIndia",0.7069322600960731,2021-04-27 20:36:57 UTC,POSITIVE
The Union Territory of Ladakh has announced free vaccination to all its residents who are eligible for Phase III of the Covid vaccination drive  #COVIDVaccination #CovidIndia    https://t.co/39gfl4IPkX,0.6373012244701386,2021-04-27 20:20:00 UTC,NEGATIVE
"National Conference president @OmarAbdullah has started using his Twitter account to amplify messages of people who are in need of oxygen, plasma, ICU beds or medicines across the country   (@mirehsankhaliq reports)   #CovidIndia #COVID19India    https://t.co/JOAtic8yFE",0.7284152716398239,2021-04-27 20:00:01 UTC,NEGATIVE
"""The situation in India is beyond heartbreaking,"" says WHO chief   #COVID19India #CovidIndia    https://t.co/Lv3xtrWGAx",0.45656447410583495,2021-04-27 20:00:00 UTC,POSITIVE
"Three more Haryana districts —Sonepat, Karnal and Ambala — entered the critical category with a positivity rate of more than 6%, taking the number of districts having critical positivity to 8  (@raohitender reports)   #CovidIndia    https://t.co/kHhPAb58Ay",0.5291584402322769,2021-04-27 19:50:00 UTC,NEGATIVE
"What a hero!  Meet Faisal-for the past 10 years he has been providing hearse car services to poor for free, but in the wake of #CovidIndia he’s even busier  Faisal is skipping fasts in Ramzan to help as many as possible, also performs last rites of orphans  https://t.co/WlSjVgWe0p",0.9639456648379564,2021-04-27 19:49:32 UTC,NEGATIVE
"I just learned a very old friend (since 1977) is in intensive care in India with COVID. So is his brother. A cousin in Gurgaon is positive. A cousin of my father's died last week in Ahmedabad. Friends report deaths of family members. #CovidIndia is horrible, terrible, awful.",0.23163129715248942,2021-04-27 19:46:10 UTC,POSITIVE
"Doctors and #COVID19 patients in India are turning to #SocialMedia in desperate pleas for oxygen, blood plasma, and ICU beds  #CovidIndia #CovidSOS    https://t.co/3xYKLoVYIh  https://t.co/z4nrgqHE7d",0.4602608665823936,2021-04-27 19:30:00 UTC,NEGATIVE
“I am ashamed to be a BJP worker.  The government has failed.”  #CovidIndia  https://t.co/JqGQAgDeB1,0.30215126387774943,2021-04-27 18:48:03 UTC,NEGATIVE
"⏺️ ‍Minimize travel and stay indoors as much as possible. ⏺️ Avoid touching eyes, nose, mouth and face as much as possible. ⏺️ Wash your hands with soap and water for at least 20 seconds. #COVID19 #Covid #CoronavirusIndia #CovidIndia  https://t.co/y4hIODy2qF",0.5121470987796783,2021-04-27 18:40:58 UTC,NEGATIVE
COVID: India to allow Amarnath pilgrimage despite surge in cases  https://t.co/OTUEE498jw,0.6506398350000382,2021-04-27 18:40:31 UTC,NEGATIVE
I’ll be anchoring on @BBCWorld from 0600GMT. #COVID19India #CovidIndia #CoronavirusIndia #CoronaVirusUpdates #COVID19 #India #IndiaFightsCOVID19,0.48578202426433564,2021-04-27 18:30:31 UTC,NEGATIVE
"I see these messages on my Twitter feed, in English, of people in India requesting oxygen/etc for those close to them.  and my first thought is - how must the poor, non-English speaking urban or rural masses, who don't have access these networks, be suffering #CovidIndia.",0.4343855887651443,2021-04-27 16:57:18 UTC,NEGATIVE
"COVID-19 Crisis: WHO to provide 4,000 oxygen concentrators to India  @WHO #COVID19 #CovidIndia    https://t.co/rtNgqZQs1P",0.47268621772527697,2021-04-27 16:53:48 UTC,NEGATIVE
