keywords,likes,tweets
COVID-19,1,The headline kinda makes it sound like the AP acknowledges that the “emergency measures” taken during the COVID-19 crisis  killed more than 1 million Americans.
COVID-19,0,"ATLANTIC CITY — The city's Police Athletic League has received $65,000 from the state to restart a youth boxing program shuttered during the COVID-19 pandemic."
COVID-19,0,I feel like Diana's line she draws is if his school experience was interpreted by Covid-19 or not
COVID-19,1,"COVID-19 was the single most fatal communicable disease in living memory.  It could literally kill you for going to the grocery store.  But sure, call it a ""civili liberties"" attack if that makes you sleep better at night."
COVID-19,0,Studies: Dogs can detect COVID-19 with greater than 80% sensitivity | CIDRAP
COVID-19,1,"Now you're putting a lot of different things on one pile. Sure there is disagreement about lockdowns, and maybe even about masks, but hardly about vaccines. Either way, this was about Peter McCullough's promoting hydroxychloroquine as a COVID-19 treatment."
COVID-19,0,"Wow,how can you forget the KEMSA scandals which have not been resolved even after the US had Kenya a big lead-up clue and arrested about four Kenyans involved in the COVID-19 scam?This latest one is still fresh."
COVID-19,0,"The hardest thing to change are people's minds. The 2023 Writers Guild of America strike is the largest interruption to American television and film production since the COVID-19 pandemic in 2020, as well as the largest labor stoppage for the WGA since the 2007–08 strike."
COVID-19,0,unroll #COVID19
COVID-19,0,"Hidden in plain sight, the truth about Covid-19 and lockdown.Check out jonah_uk7hotmailcom's video! #TikTok"
COVID-19,0,unroll #COVID19
