keywords,likes,tweets
Vaccine,0,"Read Turtles All the Way Down. Not one vaccine was ever tested against a true placebo (saline) but instead against other vaccines, a component of the trial vaccine removed, or the previous version of the test vaccine. So there’s no true baseline for adverse effects!"
Vaccine,0,"Today for today i just regret that Europe don’t have guns allowed …It would be easier to fight this corrupted governments,banks and corporations who now control police and army…this will have 2 outcomes:civil wars or they kill us all with vaccines"
Vaccine,0,Jackie your PM called people not wanting the vaccine racists &amp; white supremacists.
Vaccine,1,"Shame on you. His policies in FL are amazing and are more to advance the conservative ideology while Trump still support Ronna McDaniel, McCarthy, Graham AND took money from Soros. Did I mention he still pushes the vaccine?"
Vaccine,0,A vote for Trump says;  I support Fauci  I support Wray  I support the Covid Vaccine  I support prisoners  I support banning bump stocks  I support abortion   I support amnesty for a wall  I support increasing the deficit   I support losing
Vaccine,1,"Alyias, that is great news!Now, imagine knowing all of this… feeling it in your gut in real time, anticipating the vaccine passports in 4/2020, knowing it was experimental and a violation of basic human rights to mandate even pregnant women obey.Will you stand up next time?"
Vaccine,0,Excel's Coffee Shop : VACCINE; (MOST CENSURED) DEADLY DECEPTIO...  via
Vaccine,0,What about with the BOFA vaccine?
Vaccine,0,"Ed Haslam has a fascinating book that connects Dr. Oschner, NIH, the polio vaccine &amp; Castro."
Vaccine,5,"But the vaccines work Prof, are you saying the experimental gene therapy is not working? Do you actually know what the vaccine is doing?"
Vaccine,2,Estimates from the World Health Organization suggest that nearly half of all vaccines are discarded every year; failure to maintain an unbroken cold chain is among the top reasons for it.
Vaccine,17,Multiple studies which you have been shown before show no link between vaccines and autism
Vaccine,0,"Also I suppose you're not aware whether or not those people took the vaccine. Or maybe you believe that veganism is just about ""not using animal products""."
Vaccine,9,"And wanted you to show a vaccine passport to eat at a restaurant. But yeah, when someone dies suddenly, their vaccination status should be ""private."""
Vaccine,1,"When I saw the data on the introduction of better sanitation vs the introduction of vaccines, it shattered the myth that they’re responsible for the decline in common diseases. It aligned with my experience of “breakthrough infections” from childhood vaccines, so I realised…"
Vaccine,0,"Why didn't you use due diligence re vaccines in the past and apply what you learned to covid? I'm not a doctor, but the research I did was enough for me to say hell no to a covid jab. Don't project ur failure on others. Be accountable."
Vaccine,19,There's no question the vaccine manufacturers knew as well as government planners for the reset. Approximately 20% of the population in America did not get one shot. The rest did. 1 or more.
Vaccine,11,Simple….virus changed…..vaccines didn’t
Vaccine,1,You would have an argument if I was an actual vaccine but this COVID shot it could be a lot of things but it's not a vaccine.
